signature,class_name,java_class_name,method_name,descriptor,access_flags,is_external,is_project_method,code_size,incoming_project_calls,outgoing_project_calls,outgoing_external_calls,reachable_from_manifest_entry,core_score
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;->_initHiltInternal()V,Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity,_initHiltInternal,()V,private,False,True,19,2,3,0,True,22
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;->addOnContextAvailableListener(Landroidx/activity/contextaware/OnContextAvailableListener;)V,Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity,addOnContextAvailableListener,(Landroidx/activity/contextaware/OnContextAvailableListener;)V,,True,True,0,1,0,0,True,11
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;->componentManager()Ldagger/hilt/android/internal/managers/ActivityComponentManager;,Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity,componentManager,()Ldagger/hilt/android/internal/managers/ActivityComponentManager;,public final,False,True,65,3,2,0,True,23
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;->createComponentManager()Ldagger/hilt/android/internal/managers/ActivityComponentManager;,Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity,createComponentManager,()Ldagger/hilt/android/internal/managers/ActivityComponentManager;,protected,False,True,17,1,1,1,True,15
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;->getApplication()Landroid/app/Application;,Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity,getApplication,()Landroid/app/Application;,,True,True,0,1,0,0,True,11
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;->getDefaultViewModelCreationExtras()Landroidx/lifecycle/viewmodel/CreationExtras;,Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity,getDefaultViewModelCreationExtras,()Landroidx/lifecycle/viewmodel/CreationExtras;,,True,True,0,1,0,0,True,11
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;->initSavedStateHandleHolder()V,Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity,initSavedStateHandleHolder,()V,private,False,True,72,1,4,3,True,28
Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;->onCreate(Landroid/os/Bundle;)V,Lcom/example/android/architecture/blueprints/todoapp/Hilt_TodoActivity;,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity,onCreate,(Landroid/os/Bundle;)V,protected,False,True,22,1,2,1,True,26
Lcom/example/android/architecture/blueprints/todoapp/TodoActivity$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/TodoActivity$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoActivity$$ExternalSynthetic$Condy0,get,()Ljava/lang/Object;,public static synthetic,False,True,35,3,1,0,True,19
Lcom/example/android/architecture/blueprints/todoapp/TodoActivity;->$jacocoInit(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,Lcom/example/android/architecture/blueprints/todoapp/TodoActivity;,com.example.android.architecture.blueprints.todoapp.TodoActivity,$jacocoInit,(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,public static synthetic,False,True,13,1,0,1,True,12
Lcom/example/android/architecture/blueprints/todoapp/TodoActivity;-><clinit>()V,Lcom/example/android/architecture/blueprints/todoapp/TodoActivity;,com.example.android.architecture.blueprints.todoapp.TodoActivity,<clinit>,()V,static constructor,False,True,11,0,1,0,True,8
Lcom/example/android/architecture/blueprints/todoapp/TodoActivity;-><init>()V,Lcom/example/android/architecture/blueprints/todoapp/TodoActivity;,com.example.android.architecture.blueprints.todoapp.TodoActivity,<init>,()V,public constructor,False,True,14,0,2,0,True,11
Lcom/example/android/architecture/blueprints/todoapp/TodoActivity;->onCreate(Landroid/os/Bundle;)V,Lcom/example/android/architecture/blueprints/todoapp/TodoActivity;,com.example.android.architecture.blueprints.todoapp.TodoActivity,onCreate,(Landroid/os/Bundle;)V,protected,False,True,41,0,3,2,True,29
