class_name,java_class_name,method_count,total_code_size,incoming_project_calls,outgoing_project_calls,outgoing_external_calls
Lcom/example/android/architecture/blueprints/todoapp/addedittask/AddEditTaskViewModel_HiltModules_KeyModule_ProvideFactory$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules_KeyModule_ProvideFactory$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/addedittask/AddEditTaskViewModel_HiltModules_KeyModule_ProvideFactory$InstanceHolder$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules_KeyModule_ProvideFactory$InstanceHolder$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/addedittask/AddEditTaskViewModel_HiltModules_KeyModule_ProvideFactory$InstanceHolder;,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules_KeyModule_ProvideFactory$InstanceHolder,4,47,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/addedittask/AddEditTaskViewModel_HiltModules_KeyModule_ProvideFactory;,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules_KeyModule_ProvideFactory,6,90,4,9,3
Lcom/example/android/architecture/blueprints/todoapp/addedittask/AddEditTaskViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/addedittask/AddEditTaskViewModel_HiltModules_KeyModule_Provide_LazyMapKey;,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules_KeyModule_Provide_LazyMapKey,3,41,1,2,2
Lcom/example/android/architecture/blueprints/todoapp/addedittask/ComposableSingletons$AddEditTaskScreenKt$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.addedittask.ComposableSingletons$AddEditTaskScreenKt$$ExternalSynthetic$Condy0,1,35,6,1,0
Lcom/example/android/architecture/blueprints/todoapp/addedittask/ComposableSingletons$AddEditTaskScreenKt$lambda-1$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.addedittask.ComposableSingletons$AddEditTaskScreenKt$lambda-1$1$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/addedittask/ComposableSingletons$AddEditTaskScreenKt$lambda-1$1;,com.example.android.architecture.blueprints.todoapp.addedittask.ComposableSingletons$AddEditTaskScreenKt$lambda-1$1,5,180,3,6,13
Lcom/example/android/architecture/blueprints/todoapp/addedittask/ComposableSingletons$AddEditTaskScreenKt$lambda-2$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.addedittask.ComposableSingletons$AddEditTaskScreenKt$lambda-2$1$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/addedittask/ComposableSingletons$AddEditTaskScreenKt$lambda-2$1;,com.example.android.architecture.blueprints.todoapp.addedittask.ComposableSingletons$AddEditTaskScreenKt$lambda-2$1,5,166,3,6,11
Lcom/example/android/architecture/blueprints/todoapp/addedittask/ComposableSingletons$AddEditTaskScreenKt$lambda-3$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.addedittask.ComposableSingletons$AddEditTaskScreenKt$lambda-3$1$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/addedittask/ComposableSingletons$AddEditTaskScreenKt$lambda-3$1;,com.example.android.architecture.blueprints.todoapp.addedittask.ComposableSingletons$AddEditTaskScreenKt$lambda-3$1,5,226,3,6,14
Lcom/example/android/architecture/blueprints/todoapp/addedittask/ComposableSingletons$AddEditTaskScreenKt$lambda-4$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.addedittask.ComposableSingletons$AddEditTaskScreenKt$lambda-4$1$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/addedittask/ComposableSingletons$AddEditTaskScreenKt$lambda-4$1;,com.example.android.architecture.blueprints.todoapp.addedittask.ComposableSingletons$AddEditTaskScreenKt$lambda-4$1,5,208,3,6,12
Lcom/example/android/architecture/blueprints/todoapp/addedittask/ComposableSingletons$AddEditTaskScreenKt;,com.example.android.architecture.blueprints.todoapp.addedittask.ComposableSingletons$AddEditTaskScreenKt,7,164,6,7,6
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$$ExternalSynthetic$Condy0,1,35,19,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$activateTask$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$activateTask$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$activateTask$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$activateTask$1,3,58,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$clearCompletedTasks$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$clearCompletedTasks$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$clearCompletedTasks$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$clearCompletedTasks$1,3,57,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$completeTask$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$completeTask$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$completeTask$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$completeTask$1,3,58,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$createTask$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$createTask$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$createTask$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$createTask$1,3,58,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$createTask$taskId$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$createTask$taskId$1$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$createTask$taskId$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$createTask$taskId$1,6,143,6,9,7
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$deleteAllTasks$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$deleteAllTasks$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$deleteAllTasks$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$deleteAllTasks$1,3,57,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$deleteTask$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$deleteTask$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$deleteTask$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$deleteTask$1,3,58,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTask$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTask$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTask$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTask$1,3,59,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTaskStream$$inlined$map$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTaskStream$$inlined$map$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTaskStream$$inlined$map$1$2$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTaskStream$$inlined$map$1$2$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTaskStream$$inlined$map$1$2$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTaskStream$$inlined$map$1$2$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTaskStream$$inlined$map$1$2$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTaskStream$$inlined$map$1$2$1,3,58,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTaskStream$$inlined$map$1$2;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTaskStream$$inlined$map$1$2,3,160,3,4,7
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTaskStream$$inlined$map$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTaskStream$$inlined$map$1,3,74,2,3,4
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasks$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasks$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasks$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasks$1,3,58,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasks$2$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasks$2$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasks$2;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasks$2,6,188,6,12,6
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasksStream$$inlined$map$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasksStream$$inlined$map$1$2$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$2$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasksStream$$inlined$map$1$2$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$2$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasksStream$$inlined$map$1$2$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$2$1,3,58,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasksStream$$inlined$map$1$2;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1$2,3,216,3,5,9
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasksStream$$inlined$map$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$$inlined$map$1,3,78,2,3,4
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasksStream$1$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$1$1$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$getTasksStream$1$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$getTasksStream$1$1,6,145,6,10,5
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$refresh$2$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$refresh$2$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$refresh$2;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$refresh$2,6,282,6,16,8
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$saveTasksToNetwork$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$saveTasksToNetwork$1$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$saveTasksToNetwork$1$networkTasks$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$saveTasksToNetwork$1$networkTasks$1$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$saveTasksToNetwork$1$networkTasks$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$saveTasksToNetwork$1$networkTasks$1,6,145,6,10,5
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$saveTasksToNetwork$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$saveTasksToNetwork$1,6,314,6,15,9
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$updateTask$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$updateTask$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository$updateTask$1;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository$updateTask$1,3,58,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository,20,1962,30,60,60
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository_Factory$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository_Factory$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepository_Factory;,com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepository_Factory,6,128,4,9,6
Lcom/example/android/architecture/blueprints/todoapp/data/ModelMappingExtKt$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.ModelMappingExtKt$$ExternalSynthetic$Condy0,1,35,12,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/ModelMappingExtKt;,com.example.android.architecture.blueprints.todoapp.data.ModelMappingExtKt,13,863,19,42,49
Lcom/example/android/architecture/blueprints/todoapp/data/Task$$ExternalSynthetic$Condy1;,com.example.android.architecture.blueprints.todoapp.data.Task$$ExternalSynthetic$Condy1,1,35,19,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/Task$$ExternalSyntheticBackport0;,com.example.android.architecture.blueprints.todoapp.data.Task$$ExternalSyntheticBackport0,1,8,2,0,0
Lcom/example/android/architecture/blueprints/todoapp/data/Task;,com.example.android.architecture.blueprints.todoapp.data.Task,20,698,39,23,28
Lcom/example/android/architecture/blueprints/todoapp/data/TaskRepository$DefaultImpls$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.TaskRepository$DefaultImpls$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/TaskRepository$DefaultImpls;,com.example.android.architecture.blueprints.todoapp.data.TaskRepository$DefaultImpls,3,92,3,4,3
Lcom/example/android/architecture/blueprints/todoapp/data/TaskRepository;,com.example.android.architecture.blueprints.todoapp.data.TaskRepository,13,0,16,0,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/LocalTask$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.LocalTask$$ExternalSynthetic$Condy0,1,35,18,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/LocalTask;,com.example.android.architecture.blueprints.todoapp.data.source.local.LocalTask,19,543,26,21,27
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao,10,0,14,0,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$$ExternalSynthetic$Condy0,1,35,12,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$10$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$10$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$10;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$10,4,156,3,11,11
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$11$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$11$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$11;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$11,4,119,3,9,7
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$12$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$12$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$12;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$12,4,119,3,9,7
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$13$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$13$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$13;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$13,5,234,3,7,18
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$14$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$14$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$14;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$14,5,214,3,7,15
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$15$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$15$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$15;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$15,4,235,3,6,19
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$16$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$16$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$16;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$16,4,215,3,6,16
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$1;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$1,3,43,2,2,2
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$2$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$2$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$2;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$2,3,43,2,2,2
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$3$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$3$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$3;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$3,3,43,2,2,2
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$4$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$4$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$4;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$4,3,43,2,2,2
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$5$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$5$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$5;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$5,5,123,3,9,6
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$6$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$6$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$6;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$6,5,134,3,10,7
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$7$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$7$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$7;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$7,4,189,3,11,12
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$8$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$8$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$8;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$8,4,166,3,11,12
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$9$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$9$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl$9;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$9,4,153,3,11,10
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/TaskDao_Impl;,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl,19,463,45,28,22
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/ToDoDatabase$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.ToDoDatabase$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/ToDoDatabase;,com.example.android.architecture.blueprints.todoapp.data.source.local.ToDoDatabase,9,37,9,2,2
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/ToDoDatabase_Impl$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.ToDoDatabase_Impl$$ExternalSynthetic$Condy0,1,35,13,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/ToDoDatabase_Impl$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.local.ToDoDatabase_Impl$1$$ExternalSynthetic$Condy0,1,35,8,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/ToDoDatabase_Impl$1;,com.example.android.architecture.blueprints.todoapp.data.source.local.ToDoDatabase_Impl$1,9,498,2,13,41
Lcom/example/android/architecture/blueprints/todoapp/data/source/local/ToDoDatabase_Impl;,com.example.android.architecture.blueprints.todoapp.data.source.local.ToDoDatabase_Impl,15,465,7,24,24
Lcom/example/android/architecture/blueprints/todoapp/data/source/network/NetworkDataSource;,com.example.android.architecture.blueprints.todoapp.data.source.network.NetworkDataSource,2,0,2,0,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/network/NetworkTask$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.network.NetworkTask$$ExternalSynthetic$Condy0,1,35,18,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/network/NetworkTask;,com.example.android.architecture.blueprints.todoapp.data.source.network.NetworkTask,19,655,11,22,31
Lcom/example/android/architecture/blueprints/todoapp/data/source/network/TaskNetworkDataSource$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.network.TaskNetworkDataSource$$ExternalSynthetic$Condy0,1,35,4,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/network/TaskNetworkDataSource$loadTasks$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.network.TaskNetworkDataSource$loadTasks$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/network/TaskNetworkDataSource$loadTasks$1;,com.example.android.architecture.blueprints.todoapp.data.source.network.TaskNetworkDataSource$loadTasks$1,3,57,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/source/network/TaskNetworkDataSource$saveTasks$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.data.source.network.TaskNetworkDataSource$saveTasks$1$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/data/source/network/TaskNetworkDataSource$saveTasks$1;,com.example.android.architecture.blueprints.todoapp.data.source.network.TaskNetworkDataSource$saveTasks$1,3,58,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/data/source/network/TaskNetworkDataSource;,com.example.android.architecture.blueprints.todoapp.data.source.network.TaskNetworkDataSource,5,600,5,8,22
