class_name,java_class_name,method_count,total_code_size,incoming_project_calls,outgoing_project_calls,outgoing_external_calls
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$FragmentCBuilder$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$FragmentCBuilder$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$FragmentCBuilder;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$FragmentCBuilder,7,120,5,9,4
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$FragmentCImpl$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$FragmentCImpl$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$FragmentCImpl;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$FragmentCImpl,5,80,3,7,1
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ServiceCBuilder$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ServiceCBuilder$$ExternalSynthetic$Condy0,1,35,5,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ServiceCBuilder;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ServiceCBuilder,7,112,5,9,4
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ServiceCImpl$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ServiceCImpl$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$ServiceCImpl;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ServiceCImpl,3,35,3,3,1
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl$$ExternalSynthetic$Condy0,1,35,7,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl$SwitchingProvider$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl$SwitchingProvider$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl$SwitchingProvider;,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl$SwitchingProvider,3,147,5,12,6
