method_id,class_name,method_name,call_count
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1$$ExternalSynthetic$Condy0,$init,200
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-5$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-5$1$$ExternalSynthetic$Condy0,$init,173
com.example.android.architecture.blueprints.todoapp.util.ComposeUtilsKt->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposeUtilsKt,$init,171
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$2$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$2$$ExternalSynthetic$Condy0,$init,166
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt,$init,158
com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$1$$ExternalSynthetic$Condy0,$init,146
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-4$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-4$1$$ExternalSynthetic$Condy0,$init,145
com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt$DrawerButton$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt$DrawerButton$1$$ExternalSynthetic$Condy0,$init,140
com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-3$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-3$1$$ExternalSynthetic$Condy0,$init,137
com.example.android.architecture.blueprints.todoapp.statistics.StatisticsViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.statistics.StatisticsViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0,$init,136
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenKt->$init(): void,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenKt,$init,135
com.example.android.architecture.blueprints.todoapp.util.CoroutinesUtilsKt->$init(): void,com.example.android.architecture.blueprints.todoapp.util.CoroutinesUtilsKt,$init,132
com.example.android.architecture.blueprints.todoapp.di.CoroutinesModule$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.di.CoroutinesModule$$ExternalSynthetic$Condy0,$init,130
com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-2$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-2$1$$ExternalSynthetic$Condy0,$init,130
com.example.android.architecture.blueprints.todoapp.tasks.TasksUiState$$ExternalSyntheticBackport0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksUiState$$ExternalSyntheticBackport0,$init,124
com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt$AppDrawer$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt$AppDrawer$1$$ExternalSynthetic$Condy0,$init,118
com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-11$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-11$1$$ExternalSynthetic$Condy0,$init,112
com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-8$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-8$1$$ExternalSynthetic$Condy0,$init,107
com.example.android.architecture.blueprints.todoapp.util.Async$Loading$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.Async$Loading$$ExternalSynthetic$Condy0,$init,105
com.example.android.architecture.blueprints.todoapp.tasks.TasksFilterType$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksFilterType$$ExternalSynthetic$Condy0,$init,104
com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-2$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.ComposableSingletons$TodoActivityKt$lambda-2$1$$ExternalSynthetic$Condy0,$init,96
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$5$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$5$$ExternalSynthetic$Condy0,$init,95
com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$_filteredTasksAsync$3$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$_filteredTasksAsync$3$$ExternalSynthetic$Condy0,$init,92
com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCImpl$SwitchingProvider$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$ViewModelCImpl$SwitchingProvider$$ExternalSynthetic$Condy0,$init,90
com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-1$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-1$1$$ExternalSynthetic$Condy0,$init,82
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-18$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-18$1$$ExternalSynthetic$Condy0,$init,82
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$$ExternalSynthetic$Condy0,$init,77
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$5$4$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksScreen$5$4$1$$ExternalSynthetic$Condy0,$init,68
com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ViewModelC$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ViewModelC$$ExternalSynthetic$Condy0,$init,66
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-2$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-2$1$$ExternalSynthetic$Condy0,$init,66
com.example.android.architecture.blueprints.todoapp.util.TopAppBarsKt$TasksTopAppBar$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.TopAppBarsKt$TasksTopAppBar$1$$ExternalSynthetic$Condy0,$init,64
com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.DaggerTodoApplication_HiltComponents_SingletonC$SingletonCImpl$$ExternalSynthetic$Condy0,$init,62
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules$KeyModule$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules$KeyModule$$ExternalSynthetic$Condy0,$init,61
com.example.android.architecture.blueprints.todoapp.TodoThemeKt$TodoTheme$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoThemeKt$TodoTheme$1$$ExternalSynthetic$Condy0,$init,59
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$2$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$2$1$$ExternalSynthetic$Condy0,$init,54
com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$3$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$3$$ExternalSynthetic$Condy0,$init,52
com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$SingletonC$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$SingletonC$$ExternalSynthetic$Condy0,$init,51
