id,name,class,package,path,source_set
com.example.android.architecture.blueprints.todoapp.tasks.AppNavigationTest.tasksScreen_clickOnAndroidHomeIcon_OpensNavigation,tasksScreen_clickOnAndroidHomeIcon_OpensNavigation,AppNavigationTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/AppNavigationTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.AppNavigationTest.statsScreen_clickOnAndroidHomeIcon_OpensNavigation,statsScreen_clickOnAndroidHomeIcon_OpensNavigation,AppNavigationTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/AppNavigationTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.AppNavigationTest.taskDetailScreen_doubleUIBackButton,taskDetailScreen_doubleUIBackButton,AppNavigationTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/AppNavigationTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.AppNavigationTest.taskDetailScreen_doubleBackButton,taskDetailScreen_doubleBackButton,AppNavigationTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/AppNavigationTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.AppNavigationTest.setContent,setContent,AppNavigationTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/AppNavigationTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.AppNavigationTest.openDrawer,openDrawer,AppNavigationTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/AppNavigationTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest.init,init,TasksScreenTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksScreenTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest.displayTask_whenRepositoryHasData,displayTask_whenRepositoryHasData,TasksScreenTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksScreenTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest.displayActiveTask,displayActiveTask,TasksScreenTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksScreenTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest.displayCompletedTask,displayCompletedTask,TasksScreenTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksScreenTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest.markTaskAsComplete,markTaskAsComplete,TasksScreenTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksScreenTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest.markTaskAsActive,markTaskAsActive,TasksScreenTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksScreenTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest.showAllTasks,showAllTasks,TasksScreenTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksScreenTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest.showActiveTasks,showActiveTasks,TasksScreenTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksScreenTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest.showCompletedTasks,showCompletedTasks,TasksScreenTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksScreenTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest.clearCompletedTasks,clearCompletedTasks,TasksScreenTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksScreenTest.kt,app_android_test
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenTest.noTasks_AllTasksFilter_AddTaskViewVisible,noTasks_AllTasksFilter_AddTaskViewVisible,TasksScreenTest,com.example.android.architecture.blueprints.todoapp.tasks,app/src/androidTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksScreenTest.kt,app_android_test
