path,extension,bytes,source_set
app/src/main/res/font/opensans_font.xml,.xml,983,app_main
app/src/main/res/values/attrs.xml,.xml,834,app_main
app/src/main/res/values/colors.xml,.xml,1056,app_main
app/src/main/res/values/dimens.xml,.xml,1100,app_main
app/src/main/res/values/strings.xml,.xml,3573,app_main
app/src/main/res/values/styles.xml,.xml,1635,app_main
app/src/main/res/values-w820dp/dimens.xml,.xml,1064,app_main
app/src/test/java/com/example/android/architecture/blueprints/todoapp/MainActivityRobolectricTest.kt,.kt,596,app_unit_test
app/src/test/java/com/example/android/architecture/blueprints/todoapp/TodoListManagerTest.kt,.kt,2512,app_unit_test
app/src/test/java/com/example/android/architecture/blueprints/todoapp/TodoServiceMockKTest.kt,.kt,2276,app_unit_test
app/src/test/java/com/example/android/architecture/blueprints/todoapp/addedittask/AddEditTaskViewModelTest.kt,.kt,5612,app_unit_test
app/src/test/java/com/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepositoryTest.kt,.kt,10442,app_unit_test
app/src/test/java/com/example/android/architecture/blueprints/todoapp/statistics/StatisticsUtilsTest.kt,.kt,3217,app_unit_test
app/src/test/java/com/example/android/architecture/blueprints/todoapp/statistics/StatisticsViewModelTest.kt,.kt,3896,app_unit_test
app/src/test/java/com/example/android/architecture/blueprints/todoapp/taskdetail/TaskDetailViewModelTest.kt,.kt,6230,app_unit_test
app/src/test/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksViewModelTest.kt,.kt,8341,app_unit_test
gradle/init.gradle.kts,.kts,2237,other
gradle/libs.versions.toml,.toml,10799,other
shared-test/build.gradle.kts,.kts,1732,other
shared-test/src/main/AndroidManifest.xml,.xml,684,shared_test_main
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/CustomTestRunner.kt,.kt,1085,shared_test_main
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/MainCoroutineRule.kt,.kt,1683,shared_test_main
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/data/FakeTaskRepository.kt,.kt,4547,shared_test_main
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/data/source/local/FakeTaskDao.kt,.kt,2306,shared_test_main
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/data/source/network/FakeNetworkDataSource.kt,.kt,1010,shared_test_main
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/di/DatabaseTestModule.kt,.kt,1475,shared_test_main
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/di/RepositoryTestModule.kt,.kt,1276,shared_test_main
spotless/copyright.kt,.kt,618,other
spotless/copyright.kts,.kts,617,other
spotless/copyright.xml,.xml,672,other
