path,source_set,package,lines,sloc,blank_lines,comment_lines,class_count,classes,function_count,test_count,cyclomatic_complexity_estimate
app/src/main/java/com/example/android/architecture/blueprints/todoapp/TodoApplication.kt,app_main,com.example.android.architecture.blueprints.todoapp,35,12,6,0,1,TodoApplication,1,0,2
app/src/main/java/com/example/android/architecture/blueprints/todoapp/TodoListManager.kt,app_main,com.example.android.architecture.blueprints.todoapp,44,35,9,0,1,TodoListManager,7,0,4
app/src/main/java/com/example/android/architecture/blueprints/todoapp/TodoNavGraph.kt,app_main,com.example.android.architecture.blueprints.todoapp,119,98,6,1,0,,1,0,3
app/src/main/java/com/example/android/architecture/blueprints/todoapp/TodoNavigation.kt,app_main,com.example.android.architecture.blueprints.todoapp,106,63,15,6,4,TodoScreens;TodoDestinationsArgs;TodoDestinations;TodoNavigationActions,4,0,3
app/src/main/java/com/example/android/architecture/blueprints/todoapp/TodoRepository.kt,app_main,com.example.android.architecture.blueprints.todoapp,7,6,1,0,1,TodoRepository,3,0,1
app/src/main/java/com/example/android/architecture/blueprints/todoapp/TodoService.kt,app_main,com.example.android.architecture.blueprints.todoapp,22,18,4,0,1,TodoService,3,0,3
app/src/main/java/com/example/android/architecture/blueprints/todoapp/TodoTheme.kt,app_main,com.example.android.architecture.blueprints.todoapp,19,17,2,0,0,,1,0,1
app/src/main/java/com/example/android/architecture/blueprints/todoapp/util/Async.kt,app_main,com.example.android.architecture.blueprints.todoapp.util,28,6,6,0,4,Async;Loading;Error;Success,0,0,1
app/src/main/java/com/example/android/architecture/blueprints/todoapp/util/ComposeUtils.kt,app_main,com.example.android.architecture.blueprints.todoapp.util,56,27,6,0,0,,1,0,2
app/src/main/java/com/example/android/architecture/blueprints/todoapp/util/CoroutinesUtils.kt,app_main,com.example.android.architecture.blueprints.todoapp.util,32,4,6,0,0,,0,0,1
app/src/main/java/com/example/android/architecture/blueprints/todoapp/util/SimpleCountingIdlingResource.kt,app_main,com.example.android.architecture.blueprints.todoapp.util,70,24,14,2,1,SimpleCountingIdlingResource,5,0,3
app/src/main/java/com/example/android/architecture/blueprints/todoapp/util/TodoDrawer.kt,app_main,com.example.android.architecture.blueprints.todoapp.util,189,166,9,0,0,,5,0,2
app/src/main/java/com/example/android/architecture/blueprints/todoapp/util/TopAppBars.kt,app_main,com.example.android.architecture.blueprints.todoapp.util,229,199,16,0,0,,11,0,1
app/src/test/java/com/example/android/architecture/blueprints/todoapp/addedittask/AddEditTaskViewModelTest.kt,app_unit_test,com.example.android.architecture.blueprints.todoapp.addedittask,164,106,30,12,1,AddEditTaskViewModelTest,8,6,1
app/src/test/java/com/example/android/architecture/blueprints/todoapp/data/DefaultTaskRepositoryTest.kt,app_unit_test,com.example.android.architecture.blueprints.todoapp.data,285,158,64,47,2,DefaultTaskRepositoryTest;under,17,16,1
app/src/test/java/com/example/android/architecture/blueprints/todoapp/MainActivityRobolectricTest.kt,app_unit_test,com.example.android.architecture.blueprints.todoapp,23,20,3,0,1,MainActivityRobolectricTest,1,1,1
app/src/test/java/com/example/android/architecture/blueprints/todoapp/statistics/StatisticsUtilsTest.kt,app_unit_test,com.example.android.architecture.blueprints.todoapp.statistics,92,54,13,9,1,StatisticsUtilsTest,4,4,1
app/src/test/java/com/example/android/architecture/blueprints/todoapp/statistics/StatisticsViewModelTest.kt,app_unit_test,com.example.android.architecture.blueprints.todoapp.statistics,106,61,18,11,1,StatisticsViewModelTest,4,3,1
app/src/test/java/com/example/android/architecture/blueprints/todoapp/taskdetail/TaskDetailViewModelTest.kt,app_unit_test,com.example.android.architecture.blueprints.todoapp.taskdetail,167,102,30,19,1,TaskDetailViewModelTest,8,7,2
app/src/test/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksViewModelTest.kt,app_unit_test,com.example.android.architecture.blueprints.todoapp.tasks,228,117,49,46,1,TasksViewModelTest,11,10,1
app/src/test/java/com/example/android/architecture/blueprints/todoapp/TodoListManagerTest.kt,app_unit_test,com.example.android.architecture.blueprints.todoapp,91,68,23,0,1,TodoListManagerTest,7,7,1
app/src/test/java/com/example/android/architecture/blueprints/todoapp/TodoServiceMockKTest.kt,app_unit_test,com.example.android.architecture.blueprints.todoapp,81,56,25,0,1,TodoServiceMockKTest,5,5,1
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/CustomTestRunner.kt,shared_test_main,com.example.android.architecture.blueprints.todoapp,28,10,4,0,1,CustomTestRunner,1,0,1
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/data/FakeTaskRepository.kt,shared_test_main,com.example.android.architecture.blueprints.todoapp.data,152,109,26,1,1,FakeTaskRepository,17,0,6
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/data/source/local/FakeTaskDao.kt,shared_test_main,com.example.android.architecture.blueprints.todoapp.data.source.local,79,48,17,0,1,FakeTaskDao,10,0,3
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/data/source/network/FakeNetworkDataSource.kt,shared_test_main,com.example.android.architecture.blueprints.todoapp.data.source.network,27,9,4,0,1,FakeNetworkDataSource,2,0,2
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/di/DatabaseTestModule.kt,shared_test_main,com.example.android.architecture.blueprints.todoapp.di,44,25,5,0,1,DatabaseTestModule,1,0,1
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/di/RepositoryTestModule.kt,shared_test_main,com.example.android.architecture.blueprints.todoapp.di,39,20,5,0,1,RepositoryTestModule,1,0,1
shared-test/src/main/java/com/example/android/architecture/blueprints/todoapp/MainCoroutineRule.kt,shared_test_main,com.example.android.architecture.blueprints.todoapp,54,22,7,0,1,MainCoroutineRule,2,0,1
